Id	Remarks	Name	ShowName	Level	NpcType	NpcFigure	Portrait	Scale	ParticleScale	CauseStiff	AcceptStiff	AcceptStiffEffect	AddHpMax	AddEpMax	AddAd	AddADp	AddMDp	AddCri	AddPow	AddBackHitPow	AddCrackPow	AddHpRecover	AddEpRecover	AddSpd	AddWalkSpd	AddFireDam	AddFireErd	AddIceDam	AddIceErd	AddPoisonDam	AddPoisonErd	AddWeight	AddRps	AddAttackRange	SuperArmor	ViewRange	GohomeRange	ReleaseTime	IsRange	SkillList	DeadSkill	CanMove	CanHitMove	CanRotate	Model	ActionId	BornEffect	BornEffectTime	BornAnimTime	BornEffect	MeetEnemyImpact	MeetEnemyStayTime	MeetEnemyWalkTime	TauntSound	HitSound	IsAttachControler	AttachNodeName	CanBomb	Cross2StandTime	Cross2RunTime	DeadAnimTime	AvoidanceRadius	ShapeType	ShapeParamNum	ShapeParamName0	ShapeParam0	ShapeParamName1	ShapeParam1	ShapeParamName2	ShapeParam2	ShapeParamName3	ShapeParam3	ShapeParamName4	ShapeParam4	ShapeParamName5	ShapeParam5	ShapeParamName6	ShapeParam6	ShapeParamName7	ShapeParam7
1052	ÎÁÒßÊóÈË	ÎÁÒßÊóÈË		1	0	0	G1052			FALSE			100000	10000	500	250	0	0	0	0	0	0	0	300	100	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300503	300506	TRUE	TRUE	TRUE	Monster/Campaign_Wild/05_Mouse/5_Mon_PlagueMouse_01	1052						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1053	Ð¡ÊóÈË	Ð¡ÊóÈË		1	0	0	G1053			FALSE			100000	10000	500	250	0	0	0	0	0	0	0	500	100	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300504		TRUE	TRUE	TRUE	Monster/Campaign_Wild/05_Mouse/5_Mon_SmallMouse_01	1053						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1061	×³ºº´ó´¸	½ð¿ø´¸±ø		1	0	2	G1061	1.3					10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300605|300606		TRUE	TRUE	TRUE	Monster/Campaign_Wild/06_BlackSmith/5_Mon_KAWarhammer_01	1061						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1062	×³ºº¼ÓÅ©ÅÚ	½ð¿øÅÚ±ø		1	0	2	G1062	1.3					10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	300601|300603		TRUE	TRUE	TRUE	Monster/Campaign_Wild/06_BlackSmith/5_Mon_KACannon_01	1062						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1063	£¨ÔÝÊ±±ðÓÃ£©×³ºº´ó´¸Ó°×Ó£¨ÕÙ»½£©	´¸±øÓ°×Ó		1	0	2	G1061	1.3					10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300605|300606		TRUE	TRUE	TRUE	Monster/Campaign_Wild/06_BlackSmith/5_Mon_KAWarhammer_02	1061						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1071	¶ÀÑÛ¾ÞÈË´ó´¸	¾ÞÈËËéÁÑÕß		1	0	2	G1061	1.4		TRUE			100000	10000	500	250	0	0	0	0	0	0	0	500	200	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300701|300702		TRUE	TRUE	TRUE	Monster/Campaign_Wild/07_OEOrc/5_Mon_OneyeOrc_01	1071					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1072	¶ÀÑÛ¾ÞÈË¾ÞÊ¯	¾ÞÈËÍ¶ÖÀÕß		1	0	2	G1062	1.4		TRUE			100000	10000	500	250	0	0	0	0	0	0	0	500	200	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	300703|300704		TRUE	TRUE	TRUE	Monster/Campaign_Wild/07_OEOrc/5_Mon_OneyeOrc_02	1072					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1111	¸«Í·²¼Â³·ò¾«Ó¢¹Ö	¾«Ó¢¸«ÊÖ		10	0	1	G1011	1.8		TRUE			818300	10000	8400	5000	5000	5	150	105	105	0	0	300	100	0	10000	0	10000	0	10000	0	50	200	FALSE	7	1000	400	TRUE	300126		TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_01	1011						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1112	ÖÀÃ¬²¼Â³·ò¾«Ó¢¹Ö	¾«Ó¢Ã¬±ø		11	0	1	G1012	1.8		TRUE			369700	10000	8400	2750	2750	5	150	105	105	0	0	450	150	0	11000	0	11000	0	11000	0	50	200	FALSE	10	1000	400	TRUE	300125		TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_02	1012						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1113	²¼Â³·ò¾«Ó¢¹ÖÏ÷Èõ°æ	¸ç²¼ÁÖµ¶±ø		1	0	1	G1013	1		FALSE			10000	10000	500	250	0	0	0	0	0	0	0	500	200	0	0	0	0	0	0	0	50	200	FALSE	7	1000	400	TRUE	300101|300102		TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_03	1013					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1114	×Ý»ð²¼Â³·ò¾«Ó¢¹Ö	¾«Ó¢»ðÍ½		10	0	1	G1014	1.8		TRUE			818300	10000	8400	5000	5000	5	150	105	105	0	0	450	150	0	10000	0	10000	0	10000	0	50	200	FALSE	10	1000	3000	TRUE	300124	300123	TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_04	1014						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1115	¸ç²¼ÁÖbossÏ÷Èõ°æ	¸ç²¼ÁÖ´¸±ø		1	0	2	G1015	0.7		FALSE			10000	10000	500	250	0	0	0	0	0	0	0	500	200	0	0	0	0	0	0	0	50	200	FALSE	13	1000	400	TRUE	300111|300112|300113|300114|300115		TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Boss_Goblin_01	1015						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1121	Àû×¦ÀÇÈË¾«Ó¢Ï÷Èõ°æ	Àû×¦ÀÇÈË		1	0	1	G1021	0.7		FALSE			100000	10000	500	250	0	0	0	0	0	0	0	600	200	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300201|300202		TRUE	TRUE	TRUE	Monster/Campaign_Wild/02_Blof/5_Mon_Blof_01	1021					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1122	¹Ç¸«Ð¡ÀÇÈË¾«Ó¢¹Ö	¹Ç¸«¾«Ó¢ÀÇ		1	0	0	G1022	1.7		TRUE			100000	10000	500	250	0	0	0	0	0	0	0	400	150	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300203|300204		TRUE	TRUE	TRUE	Monster/Campaign_Wild/02_Blof/5_Mon_Blof_02	1022						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1151	ÊóÈË¾«Ó¢Ï÷Èõ°æ	¹öµØÊóÈË		1	0	1	G1051	1		FALSE			100000	10000	500	250	0	0	0	0	0	0	0	600	100	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300501|300502		TRUE	TRUE	TRUE	Monster/Campaign_Wild/05_Mouse/5_Mon_BurrowMouse_01	1051					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1152	ÎÁÒßÊóÈË¾«Ó¢¹Ö	ÎÁÒß¾«Ó¢Êó		1	0	0	G1052	1.8		TRUE			100000	10000	500	250	0	0	0	0	0	0	0	300	100	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300503	300506	TRUE	TRUE	TRUE	Monster/Campaign_Wild/05_Mouse/5_Mon_PlagueMouse_01	1052						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1153	Ð¡ÊóÈË¾«Ó¢¹Ö	¾«Ó¢Ð¡ÊóÈË		1	0	0	G1053	1.8		TRUE			100000	10000	500	250	0	0	0	0	0	0	0	500	100	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300504		TRUE	TRUE	TRUE	Monster/Campaign_Wild/05_Mouse/5_Mon_SmallMouse_01	1053						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1171	¶ÀÑÛ¾ÞÈË´ó´¸Ï÷Èõ°æ	¾ÞÈË´¸ÊÖ		1	0	2	G1061	0.6		FALSE			100000	10000	500	250	0	0	0	0	0	0	0	500	200	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300701|300702		TRUE	TRUE	TRUE	Monster/Campaign_Wild/07_OEOrc/5_Mon_OneyeOrc_01	1071					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1172	¶ÀÑÛ¾ÞÈË¾ÞÊ¯Ï÷Èõ°æ	¾ÞÈËÊ¯±ø		1	0	2	G1062	0.6		FALSE			100000	10000	500	250	0	0	0	0	0	0	0	500	200	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	300703|300704		TRUE	TRUE	TRUE	Monster/Campaign_Wild/07_OEOrc/5_Mon_OneyeOrc_02	1072					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
2011	½©Ê¬ÄÐ³à	ÊÈÑª½©Ê¬ÄÐ		1	0	0	G2011						10000	10000	500	250	0	0	0	0	0	0	0	200	50	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	310101|310102		TRUE	TRUE	TRUE	Monster/Campaign_Dungeon/01_Zombie/5_Mon_Zombie_01	2011						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
2012	½©Ê¬ÄÐÇà	¾ç¶¾½©Ê¬ÄÐ		1	0	0	G2012						10000	10000	500	250	0	0	0	0	0	0	0	200	50	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	310104|310103		TRUE	TRUE	TRUE	Monster/Campaign_Dungeon/01_Zombie/5_Mon_Zombie_02	2012						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
2013	½©Ê¬Å®	ÀäÑª½©Ê¬Å®		1	0	0	G2013						10000	10000	500	250	0	0	0	0	0	0	0	200	50	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	310105|310106		TRUE	TRUE	TRUE	Monster/Campaign_Dungeon/01_Zombie/5_Mon_Zombie_03	2013						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
2021	÷¼÷Ã½£¶Ü	÷¼÷Ã½£¶Ü±ø		1	0	0	G2021						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	310201|310202		TRUE	TRUE	TRUE	Monster/Campaign_Dungeon/02_Skeleton/5_Mon_SkeletonSword_01	2021						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
2022	÷¼÷Ã¹Ç°ô	÷¼÷Ã¹Ç°ô±ø		1	0	0	G2022						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	310204|310203		TRUE	TRUE	TRUE	Monster/Campaign_Dungeon/02_Skeleton/5_Mon_SkeletonBone_01	2022						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
2023	÷¼÷Ã¸«Í·	÷¼÷Ã¸«ÊÖ		1	0	0	G2023						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	310205|310206		TRUE	TRUE	TRUE	Monster/Campaign_Dungeon/02_Skeleton/5_Mon_SkeletonAxe_01	2023						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
2031	¿ó¹¤³úÍ·	¿ó¹¤ÍÚ¾òÕß		1	0	0	G2031						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	310303|310304		TRUE	TRUE	TRUE	Monster/Campaign_Dungeon/03_Miner/5_Mon_HoeMiner_01	2031						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
2032	¿ó¹¤Ë®¾§±¬ÆÆÕß	¿ó¹¤±¬ÆÆÕß		1	0	0	G2032						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	310301	310305	TRUE	TRUE	TRUE	Monster/Campaign_Dungeon/03_Miner/5_Mon_BombMiner_01	2032						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
2041	ËÀÁé·¨Ê¦	ËÀÁé·¨Ê¦		1	0	0	G2041						10000	10000	500	250	0	0	0	0	0	0	0	400	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	310401|310403|310408|310407|310411		TRUE	TRUE	TRUE	Monster/Campaign_Dungeon/04_Necro/5_Mon_Necromancer_01	2041						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
2042	ËÀÁéÎ×Ê¦	ËÀÁéÎ×Ê¦		1	0	0	G2042						10000	10000	500	250	0	0	0	0	0	0	0	400	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	310405|310406|310407|310408|310410		TRUE	TRUE	TRUE	Monster/Campaign_Dungeon/04_Necro/5_Mon_Necromancer_02	2042						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
2051	Ê¬¸¯ÊÞ	Ê¬¸¯ÊÞ		1	0	1	G1062	1.2					10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	310501|310502|310503		TRUE	TRUE	TRUE	Monster/Campaign_Dungeon/05_Carrion/5_Mon_Carrion_01	2051						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
3011	ÍÐÀµ±ÙÂê½£¶Ü±ø	µ¶·æ½£¶Ü±ø		1	0	0	G3012						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	320101|320102		TRUE	TRUE	TRUE	Monster/Campaign_Desert/01_TLPMArmy/5_Mon_TLPMBlade_01	3011						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
3012	ÍÐÀµ±ÙÂê³¤Ã¬±ø	µ¶·æ³¤Ã¬±ø		1	0	0	G3012						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	320103|320104|320105		TRUE	TRUE	TRUE	Monster/Campaign_Desert/01_TLPMArmy/5_Mon_TLPMSpear_01	3012						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
3013	ÍÐÀµ±ÙÂêåó¼ý±ø	µ¶·æåó¼ý±ø		1	0	0	G3013						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	320106|320107		TRUE	TRUE	TRUE	Monster/Campaign_Desert/01_TLPMArmy/5_Mon_TLPMCBow_01	3013						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
3014	£¨ÔÝÊ±±ðÓÃ£©ÍÐÀµ±ÙÂê½£¶Ü±øÓ°×Ó£¨ÕÙ»½£©	½£¶Ü±øÓ°×Ó		1	0	0	G3012						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	320101|320102		TRUE	TRUE	TRUE	Monster/Campaign_Desert/01_TLPMArmy/5_Mon_TLPMBlade_02	3011						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
3015	£¨ÔÝÊ±±ðÓÃ£©ÍÐÀµ±ÙÂêåó¼ý±øÓ°×Ó£¨ÕÙ»½£©	åó¼ý±øÓ°×Ó		1	0	0	G3013						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	320106|320107		TRUE	TRUE	TRUE	Monster/Campaign_Desert/01_TLPMArmy/5_Mon_TLPMCBow_02	3013						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
3021	Ê¥ÎÀ¾ü½£¶Ü±ø	Ê¥ÎÀ½£¶Ü±ø		1	0	0	G3021						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	320201|320202|320203		TRUE	TRUE	TRUE	Monster/Campaign_Desert/02_SWJ/5_Mon_SWJBlade_01	3021						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
3022	Ê¥ÎÀ¾ü³¤Ã¬±ø	Ê¥ÎÀ³¤Ã¬±ø		1	0	0	G3022						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	320204|320205		TRUE	TRUE	TRUE	Monster/Campaign_Desert/02_SWJ/5_Mon_SWJSpear_01	3022						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
3023	Ê¥ÎÀ¾ü·ÉÂÖ±ø	Ê¥ÎÀ·ÉÂÖ±ø		1	0	0	G3023						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	320206|320207		TRUE	TRUE	TRUE	Monster/Campaign_Desert/02_SWJ/5_Mon_SWJFlywheel_01	3023						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
3024	£¨ÔÝÊ±±ðÓÃ£©Ê¥ÎÀ¾ü³¤Ã¬±øÓ°×Ó£¨ÕÙ»½£©	³¤Ã¬±øÓ°×Ó		1	0	0	G3022						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	320204|320205		TRUE	TRUE	TRUE	Monster/Campaign_Desert/02_SWJ/5_Mon_SWJSpear_02	3022						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
