Id	GoldSum	GoldMin	GoldMax	Exp	Diamond	PartnerId	HpCount	HpPercent	MpCount	MpPercent	GoldModel	GoldParticle	HpModel	HpParticle	MpModel	MpParticle	ItemCount	WarriorItem0	RogueItem0	MageItem0	Count0	Weight0	WarriorItem1	RogueItem1	MageItem1	Count1	Weight1	WarriorItem2	RogueItem2	MageItem2	Count2	Weight2	WarriorItem3	RogueItem3	MageItem3	Count3	Weight3
1022	160	1	20	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	34104	34104	34104	1	7	24103	24103	24103	1	7	101	101	101	80	15	400001	400001	400001	1	8
1023	160	1	20	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	92	7	101	101	101	102	7	101	101	101	80	15	400001	400001	400001	1	8
1024	176	1	22	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	34106	34106	34106	1	7	24105	24105	24105	1	7	101	101	101	88	15	400001	400001	400001	1	8
1025	192	1	24	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	100	7	101	101	101	110	7	101	101	101	96	15	400001	400001	400001	1	8
1026	208	1	26	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	34101	34107	34108	1	7	24101	24107	24108	1	7	101	101	101	104	15	400001	400001	400001	1	8
1027	224	1	28	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	34103	34103	34103	1	7	24106	24106	24106	1	7	101	101	101	112	15	400001	400001	400001	1	8
1028	240	1	30	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	108	7	101	101	101	118	7	101	101	101	120	15	400001	400001	400001	1	8
1029	256	1	32	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	34102	34102	34102	1	7	24102	24102	24102	1	7	101	101	101	128	15	400001	400001	400001	1	8
1030	272	1	34	40			3	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4																				
1031	272	1	34	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35104	35104	35104	1	5	34103	34103	34103	1	10	400001	400001	400001	3	5	101	101	101	136	25
1032	288	1	36	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	164	5	101	101	101	174	10	400001	400001	400001	3	5	101	101	101	144	25
1033	304	1	38	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35103	35103	35103	1	5	34105	34105	34105	1	10	400001	400001	400001	3	5	101	101	101	152	25
1034	320	1	40	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	172	5	101	101	101	182	10	400001	400001	400001	3	5	101	101	101	160	25
1035	336	1	42	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	190	5	101	101	101	200	10	400001	400001	400001	3	5	101	101	101	168	25
1036	352	1	44	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35105	35105	35105	1	5	34101	34107	34108	1	10	400001	400001	400001	3	5	101	101	101	176	25
1037	368	1	46	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35101	35107	35108	1	5	34103	34103	34103	1	10	400001	400001	400001	3	5	101	101	101	184	25
1038	384	1	48	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35102	35102	35102	1	5	34102	34102	34102	1	10	400001	400001	400001	3	5	101	101	101	192	25
1039	400	1	50	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35106	35106	35106	1	5	34104	34104	34104	1	10	400001	400001	400001	3	5	101001	101001	101001	2	25
1040	416	1	52	52																																	
1041	416	1	52	52			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36102	36102	36102	1	5	101	101	101	208	15	400001	400001	400001	3	5	101001	101001	101001	2	15
1042	416	1	52	52			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36105	36105	36105	1	5	101	101	101	208	15	400001	400001	400001	3	5	101001	101001	101001	2	15
1043	416	1	52	54			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36101	36107	36108	1	5	101	101	101	208	15	400001	400001	400001	3	5	101001	101001	101001	2	15
1044	432	1	54	56			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36103	36103	36103	1	5	101	101	101	216	15	400001	400001	400001	3	5	101001	101001	101001	2	15
1045	448	1	56	58			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36106	36106	36106	1	5	101	101	101	224	15	400001	400001	400001	3	5	101001	101001	101001	2	15
1046	464	1	58	60			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36104	36104	36104	1	5	101	101	101	232	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1047	480	1	60	62			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	230	5	101	101	101	240	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1048	496	1	62	64			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	238	5	101	101	101	248	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1049	512	1	64	66			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	246	5	101	101	101	256	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1050	528	1	66	68																																	
1051	528	1	66	68			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	254	5	101	101	101	264	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1052	544	1	68	70			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	262	5	101	101	101	272	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1053	560	1	70	72			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	270	5	101	101	101	280	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1054	576	1	72	74			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	278	5	101	101	101	288	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1055	592	1	74	76			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	286	5	101	101	101	296	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1056	608	1	76	78			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	294	5	101	101	101	304	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1057	624	1	78	80			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	302	5	101	101	101	312	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1058	640	1	80	82			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	310	5	101	101	101	320	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1059	656	1	82	84			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	318	5	101	101	101	328	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1060	672	1	84	86																																	
1061	672	1	84	86			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44101	44107	44108	1	5	101	101	101	336	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1062	688	1	86	88			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44102	44102	44102	1	5	101	101	101	344	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1063	704	1	88	90			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44104	44104	44104	1	5	101	101	101	352	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1064	720	1	90	92			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44105	44105	44105	1	5	101	101	101	360	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1065	736	1	92	94			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44103	44103	44103	1	5	101	101	101	368	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1066	752	1	94	96			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44106	44106	44106	1	5	101	101	101	376	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1067	768	1	96	98			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	374	5	101	101	101	384	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1068	784	1	98	100			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	382	5	101	101	101	392	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1069	800	1	100	102			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	390	5	101	101	101	400	15	400001	400001	400001	3	5	101004	101004	101004	2	15
2011	216	1	27	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35104	35104	35104	1	20	35105	35105	35105	1	15	303010	303010	303010	1	50	101	101	101	108	100
2012	240	1	30	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35104	35104	35104	1	20	35103	35103	35103	1	15	303010	303010	303010	1	50	101	101	101	120	100
2013	264	1	33	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35102	35102	35102	1	20	35101	35107	35108	1	15	303010	303010	303010	1	50	101	101	101	132	100
2014	288	1	36	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35103	35103	35103	1	20	35106	35106	35106	1	15	303010	303010	303010	1	50	101	101	101	144	100
2015	312	1	39	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35101	35107	35108	1	20	35102	35102	35102	1	15	303010	303010	303010	1	50	101	101	101	156	100
2016	336	1	42	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35105	35105	35105	1	20	35106	35106	35106	1	15	303010	303010	303010	1	50	101	101	101	168	100
2017	360	1	45	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35106	35106	35106	1	20	35104	35104	35104	1	15	303010	303010	303010	1	50	101	101	101	180	100
2018	384	1	48	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36104	36104	36104	1	20	35101	35101	35101	1	15	303010	303010	303010	1	50	101	101	101	192	100
2019	408	1	51	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36106	36106	36106	1	20	36101	36107	36108	1	15	303010	303010	303010	1	50	101	101	101	204	100
2021	432	1	54	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36105	36105	36105	1	10	101	101	101	216	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2022	456	1	57	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36102	36102	36102	1	10	101	101	101	228	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2023	480	1	60	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36103	36103	36103	1	10	101	101	101	240	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2024	504	1	63	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36101	36107	36108	1	10	101	101	101	252	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2025	528	1	66	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44105	44105	44105	1	10	101	101	101	264	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2026	552	1	69	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44106	44106	44106	1	10	101	101	101	276	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2027	576	1	72	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44103	44103	44103	1	10	101	101	101	288	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2028	600	1	75	78			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44104	44104	44104	1	10	101	101	101	300	50	303010	303010	303010	1	50	101002	101002	101002	3	100
2029	624	1	78	78			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	410009	410009	410009	1	25	101	101	101	312	50	303010	303010	303010	1	50	101002	101002	101002	3	100
2031	648	1	81	78			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44102	44102	44102	1	10	101	101	101	324	50	303010	303010	303010	1	50	101002	101002	101002	3	100
2032	672	1	84	81			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44101	44107	44108	1	10	101	101	101	336	50	303010	303010	303010	1	50	101002	101002	101002	3	100
