Rank	NickName	HeroId	Level	FightScore	EquipInfo	XSoulInfo	PartnerInfo	SkillInfo
18	黑寡妇X昊然	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
19	克利夫兰	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
20	令狐乐心	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
21	不羁少年V德华	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
22	甄闪	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
23	莎拉德普	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
24	长孙友	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
25	轩辕飞翮	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
26	宗政滨海	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
27	蒂姆克鲁斯	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
28	约翰阿尔芭	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
29	鬼影手X虹玉	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
30	保罗盖茨	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
31	宇文博达	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
32	长孙辰	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
33	张落	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
34	班杰明爱德华	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
35	劳瑞	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
36	欧阳瀚漠	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
37	沃伦加纳	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
38	昊然	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
39	柴鈞熙	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
40	甄佳宸	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
41	褚雅志	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
42	申屠昊然	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
43	我爱盖茨	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
44	端木弘义	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
45	姬心怡	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
46	长孙翎	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
47	宗政玉韵	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
48	约翰琼斯	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
49	杰西卡汉克斯	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
50	迈克罗宾斯	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
51	奥黛丽加纳	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
52	晏睿栋	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
53	柴昕依	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
54	阿米尔唐尼	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
55	约翰罗宾斯	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
56	肖恩韦斯莱	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
57	爱乐小主I米琪	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
58	拓拔绍辉	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
59	维多利亚乔治	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
60	柴珺逸	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
61	司马风华	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
62	罗恩爱迪生	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
63	韦纳尔	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
64	诸葛英睿	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
65	渥兹华斯	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
66	凯里华盛顿	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
67	邬冠希	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
68	TFBOY若云	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
69	詹妮弗达蒙	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
70	姬彩蓮	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
71	不羁少年V昊然	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
72	贝蒂奥斯本	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
73	窦彭祖	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
74	珍妮弗牛顿	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
75	皇甫宜年	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
76	史蒂芬巴菲特	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
77	米彩蓮	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
78	凯里汉克斯	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
79	威廉科波拉	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
80	迈克史密斯	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
81	苗睿栋	1	60	17775	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
82	阿米尔罗宾斯	2	60	17775	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
83	伍昕儒	1	60	17775	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
84	TFBOY志玲	2	60	17775	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
85	加里克鲁斯	1	60	17775	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
86	景天	2	60	17775	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
87	里奥内尔汉克斯	1	60	17775	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
88	爱乐小主I芷兰	2	60	17775	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
89	威廉诺顿	1	60	17775	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
90	克洛泽史密斯	2	60	17775	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
91	巴顿乔治	1	60	17775	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
92	尉迟正祥	2	60	17775	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
93	安加纳	1	60	17775	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
94	上官泰河	2	60	17775	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
95	长孙阳	1	60	17775	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
96	晏品优	2	60	17775	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
97	TFBOY舒兰	1	60	17775	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
98	巴顿欧文	2	60	17775	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
99	苗俊欢	1	60	17775	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
